,id,nom_estab,raz_social,codigo_act,nombre_act,per_ocu,tipo_vial,nom_vial,tipo_v_e_1,nom_v_e_1,tipo_v_e_2,nom_v_e_2,tipo_v_e_3,nom_v_e_3,numero_ext,letra_ext,edificio,edificio_e,numero_int,letra_int,tipo_asent,nomb_asent,tipoCenCom,nom_CenCom,num_local,cod_postal,cve_ent,entidad,cve_mun,municipio,cve_loc,localidad,ageb,manzana,telefono,correoelec,www,tipoUniEco,latitud,longitud,fecha_alta
0,6148326,OFICINAS DE CONSTRUCCION INSDUSTRIAL SUNTAK,SUNTANK PROYECTOS MANAGEMENT SA DE CV,236211,"Edificación de naves y plantas industriales, excepto la supervisión",51,BOULEVARD,PUERTA DEL SOL,PRIVADA,FRANZ LISZT,CALLE,SEBASTIAN BACH,CALLE,JOAQUIN TURINA,209,,,,,,COLONIA,LOMAS 4TA SECCION,,,,64639,19,NUEVO LEÓN,039,Monterrey,0001,Monterrey,4939,002,,,,Fijo,25.69593791,-100.37162845,2014-12
1,2915335,OFICINAS DE ELECTRICIDAD,APC INDUSTRIAL SA DE CV,238210,Instalaciones eléctricas en construcciones,11,CALLE,MARIANO MATAMOROS,CALLE,AMERICA,CALLE,MIGUEL NIETO,CALLE,15 DE MAYO,943,,,,,,COLONIA,CENTRO DE MONTERREY,,,,64000,19,NUEVO LEÓN,039,Monterrey,0001,Monterrey,1671,020,8183442821,,,Fijo,25.67235888,-100.33016604,2010-07
2,9309875,OFICINAS CONSTRUCTORA JAVER,OFICINAS CONSTRUCTORA JAVER,236111,Edificación de vivienda unifamiliar,11,OTRO (ESPECIFIQUE),SIN REFERENCIA,CALLE,GRANITO,CALLE,NINGUNO,CALLE,GRANITO,,SN,,,,,COLONIA,VALLE DE LINCOLN,,,,66023,19,NUEVO LEÓN,018,García,0025,Valle de Lincoln,0989,038,,,,Fijo,25.78930452,-100.49212825,2020-11
3,9320292,OFICINAS DE CONSTRUCCION,MC PANEL SISTEMAS Y ACABADOS SA DE CV,236211,"Edificación de naves y plantas industriales, excepto la supervisión",1,AVENIDA,LOS FRESNOS,CALLE,CALLE DE LAS ARBOLEDAS,CALLE,CALLE DEL ALMENDRO,CALLE,CALLE DEL NOGAL,605,,,,,,COLONIA,LOS FRESNOS,,,,66636,19,NUEVO LEÓN,006,Apodaca,0001,Ciudad Apodaca,1350,004,8113800900,OMARQOMARQ711@HOTMAIL.COM,,Fijo,25.76879624,-100.25192143,2020-11
4,8626730,OFICINAS KRC ELECTROMECANICA,KRC ELECTROMECANICA SA DE CV,238190,Otros trabajos en exteriores,6,CALLE,CANADA,CALLE,OTTAWA,CALLE,ONTARIO,BOULEVARD,LICENCIADO JOSÉ LÓPEZ PORTILLO,228,,,,,,COLONIA,VALLE DEL CANADA,,,,66059,19,NUEVO LEÓN,021,General Escobedo,0001,Ciudad General Escobedo,033A,009,,,,Fijo,25.77124202,-100.2896207,2019-11
5,9147755,"OFICINA CONSTRUCTORA OBRAS DEL NORTE, SA",CONSTRUCTORA OBRAS DEL NORTE SA DE CV,236221,"Edificación de inmuebles comerciales y de servicios, excepto la supervisión",51,CALLE,CONSTELACIONES,AVENIDA,EUGENIO GARZA SADA,AVENIDA,VIA LACTEA,CALLE,PEGASO,111,,,,2,,COLONIA,CONTRY,,,,64860,19,NUEVO LEÓN,039,Monterrey,0001,Monterrey,2190,015,,INFO@OBRASDELNORTE.COM,,Fijo,25.63464814,-100.28137539,2019-11
6,8712587,OFICINA DE  VENTAS,,238222,Instalaciones de sistemas centrales de aire acondicionado y calefacción,11,CALLE,JOSE ZORRILLA,AVENIDA,MANUEL L. BARRAGAN,CALLE,RAMON DE CAMPOAMOR,CALLE,GUILLERMO VALENCIA,843,,,,,,COLONIA,ANAHUAC,,,,66450,19,NUEVO LEÓN,046,San Nicolás de los Garza,0001,San Nicolás de los Garza,0216,029,,ESPIDAGRUPO@GMAIL.COM,,Fijo,25.73943564,-100.3127601,2019-11
7,9290717,OFICINA ADMINISTRACION TORRE IRIS,ADMINISTRADORA TORRE IRIS AC SA DE CV,236111,Edificación de vivienda unifamiliar,1,PEATONAL,CIRCUIRTO INTERIOR,AVENIDA,ALFONSO REYES,OTRO (ESPECIFIQUE),EJEEXTERIOR,AVENIDA,ALFONSO REYES,0,SN,EDIFICIO SIN NOMBRE,PLANTA BAJA,,,CONJUNTO HABITACIONAL,VIA CORDILLERA,EDIFICIO COMERCIAL Y DE SERVIC,TORRE IRIS ORIENTE,SN,66196,19,NUEVO LEÓN,048,Santa Catarina,0001,Ciudad Santa Catarina,0333,901,,,,Fijo,25.65742631,-100.43900735,2020-11
8,8997379,OFICINA ADMINISTRATIVA,SERVICIOS ADMINISTRATIVOS GOCASA SA DE CV,236111,Edificación de vivienda unifamiliar,1,AVENIDA,PUERTA DE HIERRO,AVENIDA,PASEO DE LOS LEONES,CALLE,NINGUNO,AVENIDA,PUERTA DE HIERRO,526,,,,,,COLONIA,PLAZA SERRANIA,,,,64349,19,NUEVO LEÓN,039,Monterrey,0001,Monterrey,5547,028,,,,Fijo,25.74463522,-100.41999511,2019-11
9,9322001,OFICINA DE INFORMES Y VENTAS,FOMENTO EMPRESARIAL INMOBILIARIO SA DE CV,236111,Edificación de vivienda unifamiliar,11,AVENIDA,BOSQUES DE LAS LOMAS,AVENIDA,BOSQUES DE LAS LOMAS,AVENIDA,PROLONGACION RUIZ CORTINES,PRIVADA,BOSQUE BRITANICO,1598,,,,,,COLONIA,LAS LOMAS,,,,,19,NUEVO LEÓN,018,García,0212,Mitras Poniente,064A,022,,DULCE.LOZANO@GPV.COM.MX,,Fijo,25.77023256,-100.42789748,2020-11
