,h3_polyfill,CVEGEO,CVE_ENT,CVE_MUN,NOMGEO,per_ocu_tot,denue_tot,ratio,per_ocu_95,ratio_95
0,8948a2389dbffff,19001,19,001,Abasolo,120,17,0.14166666666666666,0,0
1,8948a2388afffff,19001,19,001,Abasolo,130,15,0.11538461538461539,0,0
2,8948a238807ffff,19001,19,001,Abasolo,10,2,0.2,0,0
3,8948a238833ffff,19001,19,001,Abasolo,95,8,0.08421052631578947,0,0
4,8948a2389cbffff,19001,19,001,Abasolo,5,1,0.2,0,0
5,8948a238837ffff,19001,19,001,Abasolo,15,3,0.2,0,0
6,8948a2389d3ffff,19001,19,001,Abasolo,90,8,0.08888888888888889,0,0
7,8948a2389c3ffff,19001,19,001,Abasolo,5,1,0.2,0,0
8,8948a2388abffff,19001,19,001,Abasolo,20,4,0.2,0,0
9,8948a238d63ffff,19001,19,001,Abasolo,25,3,0.12,0,0
10,8948a238993ffff,19001,19,001,Abasolo,250,1,0.004,0,1
11,8948a238937ffff,19001,19,001,Abasolo,5,1,0.2,0,0
12,8948a23896fffff,19001,19,001,Abasolo,100,1,0.01,0,0
13,8948a272db7ffff,19006,19,006,Apodaca,100,1,0.01,0,0
14,8948a20f18bffff,19006,19,006,Apodaca,520,18,0.03461538461538462,0,0
15,8948a20f50fffff,19006,19,006,Apodaca,170,28,0.16470588235294117,0,0
16,8948a20c477ffff,19006,19,006,Apodaca,125,9,0.072,0,0
17,8948a20f303ffff,19006,19,006,Apodaca,200,34,0.17,0,0
18,8948a20eb4fffff,19006,19,006,Apodaca,135,22,0.16296296296296298,0,0
19,8948a20f11bffff,19006,19,006,Apodaca,105,2,0.01904761904761905,0,0
20,8948a20cc6bffff,19006,19,006,Apodaca,25,4,0.16,0,0
21,8948a20c65bffff,19006,19,006,Apodaca,130,2,0.015384615384615385,0,0
22,8948a20ce0fffff,19006,19,006,Apodaca,5,1,0.2,0,0
23,8948a20de77ffff,19006,19,006,Apodaca,5,1,0.2,0,0
24,8948a20f457ffff,19006,19,006,Apodaca,250,44,0.176,0,0
25,8948a20f52fffff,19006,19,006,Apodaca,500,55,0.11,0,0
26,8948a20c96bffff,19006,19,006,Apodaca,5,1,0.2,0,0
27,8948a20f397ffff,19006,19,006,Apodaca,120,13,0.10833333333333334,0,0
28,8948a20c8d7ffff,19006,19,006,Apodaca,115,3,0.02608695652173913,0,0
29,8948a20eabbffff,19006,19,006,Apodaca,265,47,0.17735849056603772,0,0
30,8948a20cd57ffff,19006,19,006,Apodaca,326,6,0.018404907975460124,0,0
31,8948a20cc33ffff,19006,19,006,Apodaca,65,7,0.1076923076923077,0,0
32,8948a20d083ffff,19006,19,006,Apodaca,330,6,0.01818181818181818,0,0
33,8948a20f363ffff,19006,19,006,Apodaca,165,13,0.07878787878787878,0,0
34,8948a20f3c3ffff,19006,19,006,Apodaca,55,2,0.03636363636363636,0,0
35,8948a20f573ffff,19006,19,006,Apodaca,200,33,0.165,0,0
36,8948a20f00bffff,19006,19,006,Apodaca,590,24,0.04067796610169491,0,0
37,8948a20f3b7ffff,19006,19,006,Apodaca,615,94,0.15284552845528454,0,0
38,8948a20eac7ffff,19006,19,006,Apodaca,55,10,0.18181818181818182,0,0
39,8948a20c1bbffff,19006,19,006,Apodaca,330,34,0.10303030303030303,0,0
40,8948a20c6a3ffff,19006,19,006,Apodaca,40,2,0.05,0,0
41,8948a20cbdbffff,19006,19,006,Apodaca,5,1,0.2,0,0
42,8948a20f533ffff,19006,19,006,Apodaca,215,36,0.16744186046511628,0,0
43,8948a20cc37ffff,19006,19,006,Apodaca,55,2,0.03636363636363636,0,0
44,8948a20f523ffff,19006,19,006,Apodaca,115,16,0.1391304347826087,0,0
45,8948a20eaafffff,19006,19,006,Apodaca,440,40,0.09090909090909091,0,0
46,8948a20f307ffff,19006,19,006,Apodaca,175,34,0.19428571428571428,0,0
47,8948a20cc07ffff,19006,19,006,Apodaca,155,11,0.07096774193548387,0,0
